MonitoringPoint,SerialNumber,TimeStamp,Date,Time,Pressure,Temperature,WaterLevel
39,R8979,19/06/2018 16.00,19/06/2018,16.00.00,1062.32,9.84,25.92
39,R8979,19/06/2018 17.00,19/06/2018,17.00.00,1062.67,9.81,25.94
39,R8979,19/06/2018 18.00,19/06/2018,18.00.00,1062.67,9.76,26.09
39,R8979,19/06/2018 19.00,19/06/2018,19.00.00,1062.84,9.74,26.04
39,R8979,19/06/2018 20.00,19/06/2018,20.00.00,1062.96,9.69,26.03
39,R8979,19/06/2018 21.00,19/06/2018,21.00.00,1062.78,9.68,25.86
39,R8979,19/06/2018 22.00,19/06/2018,22.00.00,1062.78,9.64,25.66
39,R8979,19/06/2018 23.00,19/06/2018,23.00.00,1062.49,9.63,25.62
39,R8979,20/06/2018 00.00,20/06/2018,00.00.00,1062.49,9.61,25.62
39,R8979,20/06/2018 01.00,20/06/2018,01.00.00,1062.38,9.60,25.58
39,R8979,20/06/2018 02.00,20/06/2018,02.00.00,1061.73,9.58,25.36
39,R8979,20/06/2018 03.00,20/06/2018,03.00.00,1061.44,9.59,25.44
39,R8979,20/06/2018 04.00,20/06/2018,04.00.00,1060.98,9.58,25.18
39,R8979,20/06/2018 05.00,20/06/2018,05.00.00,1060.39,9.58,25.34
39,R8979,20/06/2018 06.00,20/06/2018,06.00.00,1059.28,9.58,25.03
39,R8979,20/06/2018 07.00,20/06/2018,07.00.00,1058.23,9.59,25.31
39,R8979,20/06/2018 08.00,20/06/2018,08.00.00,1057.48,9.59,25.23
39,R8979,20/06/2018 09.00,20/06/2018,09.00.00,1056.72,9.59,25.34
39,R8979,20/06/2018 10.00,20/06/2018,10.00.00,1056.54,9.61,25.29
39,R8979,20/06/2018 11.00,20/06/2018,11.00.00,1056.25,9.68,25.50
39,R8979,20/06/2018 12.00,20/06/2018,12.00.00,1055.84,9.70,25.54
39,R8979,20/06/2018 13.00,20/06/2018,13.00.00,1055.67,9.72,25.67
39,R8979,20/06/2018 14.00,20/06/2018,14.00.00,1055.49,9.72,25.82
39,R8979,20/06/2018 15.00,20/06/2018,15.00.00,1055.20,9.71,25.90
39,R8979,20/06/2018 16.00,20/06/2018,16.00.00,1054.73,9.69,25.76
39,R8979,20/06/2018 17.00,20/06/2018,17.00.00,1054.27,9.69,25.84
39,R8979,20/06/2018 18.00,20/06/2018,18.00.00,1053.63,9.69,25.78
39,R8979,20/06/2018 19.00,20/06/2018,19.00.00,1052.93,9.68,25.83
39,R8979,20/06/2018 20.00,20/06/2018,20.00.00,1052.28,9.68,25.86
39,R8979,20/06/2018 21.00,20/06/2018,21.00.00,1052.75,9.68,26.08
39,R8979,20/06/2018 22.00,20/06/2018,22.00.00,1052.75,9.66,25.88
39,R8979,20/06/2018 23.00,20/06/2018,23.00.00,1052.46,9.65,25.53
39,R8979,21/06/2018 00.00,21/06/2018,00.00.00,1052.58,9.62,25.65
