Date,WaterLevel
19/06/2018,25.92
19/06/2018,25.94
19/06/2018,26.09
19/06/2018,26.04
19/06/2018,26.03
19/06/2018,25.86
19/06/2018,25.66
19/06/2018,25.62
20/06/2018,25.62
20/06/2018,25.58
20/06/2018,25.36
20/06/2018,25.44
20/06/2018,25.18
20/06/2018,25.34
20/06/2018,25.03
20/06/2018,25.31
20/06/2018,25.23
20/06/2018,25.34
20/06/2018,25.29
20/06/2018,25.5
20/06/2018,25.54
20/06/2018,25.67
20/06/2018,25.82
20/06/2018,25.9
20/06/2018,25.76
20/06/2018,25.84
20/06/2018,25.78
20/06/2018,25.83
20/06/2018,25.86
20/06/2018,26.08
20/06/2018,25.88
20/06/2018,25.53
21/06/2018,25.65
21/06/2018,25.83
21/06/2018,25.63
21/06/2018,25.78
21/06/2018,25.62
21/06/2018,25.57
21/06/2018,25.69
21/06/2018,25.4
21/06/2018,25.31
21/06/2018,25.31
21/06/2018,25.13
21/06/2018,25.21
21/06/2018,25.26
21/06/2018,25.64
21/06/2018,25.47
21/06/2018,25.76
21/06/2018,25.48
21/06/2018,25.94
21/06/2018,25.95
21/06/2018,25.93
21/06/2018,25.92
21/06/2018,26.01
21/06/2018,26.01
21/06/2018,25.74
22/06/2018,25.84
22/06/2018,25.68
22/06/2018,25.54
22/06/2018,25.64
22/06/2018,25.38
22/06/2018,25.43
22/06/2018,25.15
22/06/2018,25.24
22/06/2018,25.13
22/06/2018,25.25
22/06/2018,25.22
22/06/2018,25.43
22/06/2018,24.97
22/06/2018,25.51
22/06/2018,25.25
22/06/2018,25.56
22/06/2018,25.73
22/06/2018,25.9
22/06/2018,25.27
22/06/2018,25.48
22/06/2018,25.78
22/06/2018,25.48
22/06/2018,25.6
22/06/2018,25.58
23/06/2018,25.5
23/06/2018,25.28
23/06/2018,25.24
23/06/2018,24.99
23/06/2018,25.08
23/06/2018,24.63
23/06/2018,25.05
23/06/2018,24.8
23/06/2018,24.79
23/06/2018,25.07
23/06/2018,25.31
23/06/2018,25.09
23/06/2018,25.21
23/06/2018,25
23/06/2018,25.05
23/06/2018,25.12
23/06/2018,25.11
23/06/2018,25.33
23/06/2018,25.33
23/06/2018,25.27
23/06/2018,25.31
23/06/2018,25.38
23/06/2018,25.43
23/06/2018,25.38
24/06/2018,25.47
24/06/2018,25.59
24/06/2018,25.33
24/06/2018,25.29
24/06/2018,25.2
24/06/2018,25.33
24/06/2018,24.87
24/06/2018,25.04
24/06/2018,24.83
24/06/2018,24.58
24/06/2018,24.51
24/06/2018,24.63
24/06/2018,24.68
24/06/2018,24.8
24/06/2018,24.8
24/06/2018,24.81
24/06/2018,24.85
24/06/2018,25.06
24/06/2018,25.12
24/06/2018,25.24
24/06/2018,25.08
24/06/2018,24.72
24/06/2018,24.84
24/06/2018,24.76
25/06/2018,24.84
25/06/2018,24.83
25/06/2018,25.01
25/06/2018,24.89
25/06/2018,24.89
25/06/2018,24.97
25/06/2018,24.83
25/06/2018,24.75
25/06/2018,24.73
25/06/2018,24.83
25/06/2018,24.5
25/06/2018,24.92
25/06/2018,24.75
25/06/2018,24.97
25/06/2018,24.83
25/06/2018,24.73
25/06/2018,25.07
25/06/2018,25.14
25/06/2018,25.39
25/06/2018,25.26
25/06/2018,25.33
25/06/2018,25.17
25/06/2018,24.85
25/06/2018,24.59
26/06/2018,25.01
26/06/2018,25.06
26/06/2018,24.81
26/06/2018,24.68
26/06/2018,24.93
26/06/2018,24.78
26/06/2018,24.52
26/06/2018,24.23
26/06/2018,24.25
26/06/2018,24.08
26/06/2018,24.28
26/06/2018,24.58
26/06/2018,24.6
26/06/2018,24.5
26/06/2018,25
26/06/2018,24.99
26/06/2018,25.05
26/06/2018,25.21
26/06/2018,25.46
26/06/2018,25.18
26/06/2018,24.95
26/06/2018,25.09
